gstin,supplier_name,invoice_no,invoice_date,taxable_amt,igst,cgst,sgst,total
27AABCM1234F1Z5,Mehta Fabrics Pvt Ltd,INV-0001,01/06/2025,100000,0,9000,9000,118000
24XYZRT5678G2Y6,Rajesh Traders,INV-0002,03/06/2025,55000,0,4950,4950,64900
32ABCDE1234F1Z8,Prakash Industries,INV-0003,05/06/2025,75000,0,6750,6750,88500
10AAKPM1234F1Z5,S Kumar Associates,INV-0004,07/06/2025,45000,0,4050,4050,53100
09AABCS6789K5U9,Vijay Suppliers,INV-0005,10/06/2025,80000,0,7200,7200,94400
07AADVW3456L5T0,Shiva Traders,INV-0006,12/06/2025,60000,0,5400,5400,70800
06AACKM2345J4V8,Golden Enterprises,INV-0007,15/06/2025,120000,0,10800,10800,141600
29ACDPD9012H3W7,RST Distributors,INV-0008,18/06/2025,95000,0,8550,8550,112100
02ABPVD2345F1Z6,Patel Marketing,INV-EXTRA1,20/06/2025,110000,0,9900,9900,129800
03AAKLM2345F1Z7,National Traders,INV-EXTRA2,25/06/2025,50000,0,4500,4500,59000
